Titre,Entreprise,Ville_Clean,Departement,Type_Contrat,Salaire_Annuel_Estime,Date_Publication,URL,Description_Propre,Date_Expiration,Source
Data Analyst H/F,Michael Page,France,Inconnu,CDI,45000.0,2026-01-12,https://candidat.francetravail.fr/offres/recherche/detail/7771488,"En tant que Data Analyst, vous aurez les responsabilités suivantes : Amélioration de la qualité des réparations et réduction de redondances pannes : * Comprendre grâce aux statistiques les phénomènes influant sur les retours rapides des vélos en atelier, * Présenter les résultats aux équipes opérationnelles pour mettre en place des actions, * Définir des métriques et les suivre dans le temps, * Suivre les échantillons de vélos avec améliorations techniques pour déterminer leurs performances. Mise à disposition les analyses et rapports nécessaires au bon fonctionnement des différents services : * Recueillir les demandes en données/analyses des métiers en proposant des solutions techniques durables dans le temps permettant de répondre aux besoins, * Préparer les supports hebdomadaires contenant les statistiques nécessaires au pilotage des opérations de l'entreprise, * Mettre en place des systèmes surveillances des métriques clés permettant d'avoir connaissance au plus tôt de l'occurrence d'un problème sur les vélos. Mise en place d'une gouvernance de la donnée : * Définir et appliquer des standards de quaité, de sécurité et de traçabilité des données, * Collaborer avec les équipes IT et métiers pour garantir la cohérence et l'accessibilité des données. Le profil recherché : * Ingénieur(e) ou master 2 minimum en science des données, statistique ou mathématiques, * Plusieurs années d'expériences en tant que Data Analyst en entreprise sont un plus. Compétences techniques : * Les compétences en base de données relationnelles (et langage SQL) sont indispensables, * Très bonne maîtrise des outils de visualisation et de bureautique (Power BI, Power Query & Excel), * Solides compétences programmation Python (orienté analyses) ainsi que des bibliothèques utiles à la visualisation des données (Pandas, Scikit-learn, NumPy, matplotlib.). Télétravail.",,France Travail
Data steward & analyst données workscopes f/h,Confidentiel,Montereau-sur-le-Jard,77,CDI,,2026-01-11,https://candidat.francetravail.fr/offres/recherche/detail/7722347,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. <br /> Safran est la 2ème entreprise du secteur aéronautique et défense du classement « World's Best Companies 2024 » du magazine TIME.<br /> <br /> Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance, fiabilité et respect de l'environnement. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux courts et moyen-courriers.<br /> * CFM International est une société commune 50/50 de Safran Aircraft Engines et GE Aerospace.<br /> <br /> Parce que nous sommes persuadés que chaque talent compte, nous valorisons et encourageons les candidatures de personnes en situation de handicap pour nos opportunités d'emploi.<br /><br /><br /></p><p style=""font-size:1.2em;"">Descriptif mission</p><p>Au sein de la Division du Support & Services, dans la Direction de l'Engineering Clients, le Département Fleet Data Engineering a pour mission de collecter, décoder, structurer, mettre à disposition et faire vivre les données vitales aux activités des équipes internes en interface avec les clients airlines, lessor et MRO.<br /> <br /> Vous interviendrez comme garant de la qualité, de la cohérence et de l'évolution des données sur le périmètre des données de Workscopes (prévisions de tâches de maintenance des moteurs). Vous serez l'interlocuteur de référence pour le pilotage, le contrôle et la fiabilité des flux et usages de données des workscopes, en interface avec les métiers du Fleet Management, les Product Owners des applications et les équipes techniques IT.<br /> <br /> 1. Cockpit des données WALK<br /> o Piloter la roadmap du cockpit des données (définition des priorités, arbitrages, planification des capacités).<br /> o Recueillir et formaliser les besoins d'évolution des dashboards auprès des utilisateurs métiers.<br /> o Prendre en charge ou déléguer l'analyse fonctionnelle et le déploiement des évolutions des dashboards.<br /> o Assurer le déploiement et l'adoption du cockpit auprès des utilisateurs finaux (FTM).<br /> <br /> 2. Supervision et contrôle des flux de données Workscopes via Data Exchange<br /> o Surveiller et garantir l'alignement des données entre les systèmes (WALK, GE, DTPF...).<br /> o Identifier et signaler les écarts ou problèmes de complétude/qualité.<br /> Piloter l'investigation et la résolution des écarts détectés, en collaboration avec Data Exchange si nécessaire.<br /> <br /> 3. Encadrement des scripts modificatifs sur les données Workscopes<br /> o Analyser les impacts potentiels des scripts correctifs proposés dans la base de données de WALK<br /> o Donner ou refuser l'autorisation de déploiement (""Go/No Go"") en environnement de tests ou de production.<br /> o Collaborer avec les équipes techniques IT ou le PO pour garantir la sécurité et la conformité des modifications.<br /> <br /> 4. Gestion des tickets correctifs sur la Dataplateforme Workscopes<br /> o Prendre en charge la gestion (seul ou en lien avec la Dataplateforme) des tickets correctifs relatifs aux données Workscopes.<br /> o Assurer la coordination des actions correctives et tenir informés les périmètres concernés.<br /> <br /> 5. Gouvernance et usages de la donnée Workscopes<br /> o Participer aux instances de gouvernance des données SRV<br /> o Maintenir/faire évoluer le catalogage des données Workscopes dans l'outil Groupe de gouvernance des données<br /> Participer aux initiatives liées à l'usage de la donnée Workscopes (ex : projet IA Workscopes)</p>",,France Travail
Data analyst (H/F),Confidentiel,Rennes,35,MIS,,2026-01-08,https://candidat.francetravail.fr/offres/recherche/detail/7623910,"Manpower NANTES INFORMATIQUE recherche pour son client, un acteur du secteur des services informatiques, un Data analyst - 35 Rennes (H/F) Missions principales - Appropriation du dossier d'installation et analyse des prérequis techniques - Préparation des matériels : - Réception et contrôle des équipements - Gestion et stockage des composants - Mise en place du matériel en salle informatique - Montage physique des équipements : - Serveurs - Routeurs - Équipements de sauvegarde - Réalisation des recettes techniques et électriques - Gestion des accès et des droits - Mise à jour des firmwares et application des patchs de sécurité - Configuration et interconnexion des équipements réseau - Installation des socles techniques - Configuration et paramétrage des infrastructures - Réalisation de la recette globale et validation du bon fonctionnement Environnement technique - Infrastructures serveurs et réseaux - Matériels datacenter - Sécurité et mises à jour systèmes Profil recherché - Formation en informatique (Bac +2 à Bac +5 ou équivalent) - Expérience en installation et déploiement d'infrastructures IT appréciée - Bonnes connaissances en réseaux, serveurs et équipements de sécurité - Capacité à lire et appliquer des dossiers techniques - Rigueur, autonomie et sens de l'organisation - Esprit d'analyse et capacité à travailler en équipe Si votre candidature a retenu notre attention pour ce poste, voici les étapes du processus de recrutement : - Un échange téléphonique préalable - Si nécessaire, des évaluations ciblées types (technique, personnalité, ?) - Un entretien avec le client Nous assurons le pilotage de votre mission pour un parcours réussi : Formation, sensibilisation Sécurité, gestion administrative, ? Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap",,France Travail
Data analyst (H/F),Confidentiel,Kremlin-Bicêtre,94,CDI,,2026-01-08,https://candidat.francetravail.fr/offres/recherche/detail/7605865,"Description du poste Effectuer des requêtes dans le SIRH ALLIANCE pour les différents travaux et études relatives aux personnels civils. -Assurer la mise à jour dans le SIRH ALLIANCE des postes, des structures et des personnels civils. -Créer et suivre la gestion des comptes d'accès à ALLIANCE et apporter une assistance aux agents du CND sur le SIRH. -Analyser mensuellement les écarts entre les données dans ALLIANCE (requête BI sous format Excel) et les données du plan de recrutement ; signaler les écarts sur les entrées / sorties aux Autorités territoriales d'emploi du CND. -Participer aux différents travaux et études relatives aux personnels civils. -Apporter un soutien aux autres agents de la section en cas de besoin et d'absence des titulaires de poste. Description du profil : Une expérience dans les outils bureautiques (excel ou équivalent est un plus.",,France Travail
Data Analyst H/F,Unicancer,Kremlin-Bicêtre,94,CDI,40000.0,2026-01-08,https://candidat.francetravail.fr/offres/recherche/detail/7584150,"2025-4921-Data Analyst H/F Contrat : CDI Date de prise de fonction : 12/01/2026 Lieu : OKABE Service : D.I.P.I. 1. Pilotage des projets * Définir les besoins fonctionnels en collaboration avec les utilisateurs * Planifier et coordonner les différentes phases des projets (de la conception à la livraison). * Superviser la conception, le développement et le déploiement des tableaux de bord et rapports interactifs. * Contribuer à l'interopérabilité et à l'optimisation des outils numériques dans le cadre des essais cliniques. * Répondre rapidement aux demandes de données/d'indicateurs émanant de la direction R&D 2. Coordination avec les parties prenantes * Collaborer avec le groupe de travail du projet CTMS pour définir et implémenter les tableaux de bord requis. * Assurer le suivi des indicateurs SIGREC en relation avec le pôle DIPI et la Direction R&D. * Travailler en synergie avec les équipes projets (Opérations Cliniques, CRB), les data-managers, les statisticiens. * Contribuer avec la Direction aux besoins des travaux ministériels. 3. Gestion et valorisation des données * Collecter, analyser et transformer les données pour les rendre exploitables. * Mettre en place des modèles prédictifs et des indicateurs de performance adaptés. * Identifier des opportunités pour valoriser les données dans un cadre stratégique. 4. Support et formation * Former les équipes à l'utilisation des tableaux de bord et du self-service BI. * Fournir un support technique pour garantir la continuité et l'efficacité des solutions mises en place. * Conseiller la Direction sur les outils numériques susceptibles d'améliorer les process et contribuer à leur implémentation. CONNAISSANCES TECHNIQUES * Expertise dans un ou plusieurs de datavisualisation : DigDash, QlikSense, Power BI, Power Query. * Maîtrise en langages de programmation, notamment Python, R, DAX, langage M, javascript, SQL ou PLSQL. * Connaissances des outils : ETL, data-cleaning, data-mining, web scraping, API. * Solides connaissances en gestion de bases de données et en analyse de données. * Bonne maîtrise de la suite Office et des outils d'IA, en particulier générative * Connaissance des environnements Windows et Linux * Connaissance des outils de gestion de projet de type AGILE CAPACITES * Leadership et capacité à piloter des projets complexes. * Esprit analytique et rigueur. * Capacité à travailler en équipe pluridisciplinaire. * Excellentes compétences en communication et en gestion des parties prenantes. * Bac + 3 à +5 en informatique, Master en statistiques ou type ""MIAGE"", analyse de données, Big Data, IA * Expérience significative dans la gestion de projets d'analyse de données ou un poste similaire. COMPETENCES * Respect des contraintes réglementaires, éthiques et de sécurité des données. * Gestion des projets en alignement avec les stratégies définies par la Direction R&D. * Capacité à respecter les délais et à délivrer des solutions adaptées aux besoins utilisateurs.",,France Travail
Data analyst  contrats de service f/h,Confidentiel,Montereau-sur-le-Jard,77,CDI,,2026-01-06,https://candidat.francetravail.fr/offres/recherche/detail/7455458,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. <br /> Safran est la 2ème entreprise du secteur aéronautique et défense du classement « World's Best Companies 2024 » du magazine TIME.<br /> <br /> Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance, fiabilité et respect de l'environnement. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux courts et moyen-courriers.<br /> * CFM International est une société commune 50/50 de Safran Aircraft Engines et GE Aerospace.<br /> <br /> Parce que nous sommes persuadés que chaque talent compte, nous valorisons et encourageons les candidatures de personnes en situation de handicap pour nos opportunités d'emploi.<br /><br /><br /></p><p style=""font-size:1.2em;"">Descriptif mission</p><p>Dans le cadre des contrats de service MCR (Maintenance Cost Reconciliation) et du suivi des poussées moteurs, nous recherchons un Data Analyst.<br /> <br /> La première mission du Data Analyst tournera autour de la donnée (collecte, compilation, nettoyage et identification d'incohérence des données) de nouveaux contrats de service tout juste déployés auprès de nos grands clients. <br /> <br /> Ceci permettra de mener l'analyse économiques des contrats de services MCR (Maintenance Cost Reconciliation). Pour ce faire, il sera amené à développer ou aider au développement d'outils de visualisation de la donnée ainsi que des outils de calculs, pouvant être adaptés selon les besoins des différentes Customer Teams.<br /> <br /> Dans le cadre de la réalisation des outils lié à ces contrats, le Data Analyst devra mettre en place des seuils et des niveaux d'alertes (par exemple : sur les coûts des Shop Visit liés aux scraps, aux workscopes etc...) qui lui auront été préalablement communiqué par les CSPM (Customer Support and Program Manager). Pour ce faire, il devra analyser et mettre à disposition les données via des KPI exploitables pour les Customer Teams et leur apporter le support nécessaire pour la l'interprétation des informations.<br /> <br /> Les contrats MCR étant gérés par deux entités distinctes (Safran et General Electric Aerospace), le Data Analyst créera aussi des outils afin d'effectuer la revue des données de notre partenaire et mettre en place des KPI similaires.</p>",,France Travail
DRHFS (BEPSI) DATA ANALYST N°2 H/F,Confidentiel,Paris,75,CDD,,2026-01-06,https://candidat.francetravail.fr/offres/recherche/detail/7445916,"Référence CSP: MINT_BS075PNA-114200 Groupe RIFSEEP : 2 NBI : Aucune ITM : Aucune VOS ACTIVITÉS PRINCIPALES : Dans le contexte actuel de réforme des services de la Police nationale et de la réorganisation du bureau des effectifs, de la prospective et des systèmes d’information, vous participez aux activités de la section « Analyse et prospective » composée de 9 agents de catégorie A : - suivi schéma d’emploi des effectifs de la Police nationale dans ses différentes catégories de personnels actifs, PATS et contractuels, élaboration et le suivi des effectifs cible et élaboration des trajectoires RH et GPEEC pour les services de la Police nationale. - prospective RH de la Police nationale avec la définition d’une feuille de route et l’organisation des travaux de la section sur les données RH issues notamment du SIRH D2, du Panorama des effectifs de la Police nationale et de Limesurvey : études diverses, études socio démographes, enquêtes, monographies, modèle de répartition des données ... - élaboration du rapport social unique de la Police nationale, du rapport social unique du ministère de l’intérieur, de l’index « égalité professionnelle » et des différents bilans sociaux notamment en matière d’Egalité entre les femmes et hommes et de Diversité. Dans ce cadre et en lien avec l’équipe, vous participez aux travaux de traitement et de préparation des données comme suit : - Analyse et exploitation des données - Réalisation des analyses statistiques descriptives et prédictives - Analyser les remontées utilisateurs sur la qualité des données et proposer des solutions corrections/améliorations/contournements - Restitution et visualisation des données : création de tableaux de bord, de visualisations et cartographies claires et pertinentes, élaboration de rapports synthétiques à l’attention de du DGPN, des services internes de la DRHFS, des directions d’emploi et services de la Police nationale. - Spécification des besoins de transformation de données en vue de la réutilisation pour la recherche et le pilotage - Etablir les plans de tests sur données et les mettre en œuvre - Participation et amélioration des processus data, notamment par une veille sur les nouvelles méthodes et outils d’analyse de données - Documenter les données et leur cycle de - Proposer des indicateurs sur la qualité des données - Contribuer à la promotion d’une culture de la donnée RH Vos travaux permettront notamment de répondre aux demandes du DGPN, de la Cour des comptes, aux inspections et audits, aux questions parlementaires et aux enquêtes Ces activités seront menées en lien étroit avec les autres sections du bureau, les services internes de la DRHFS, les directions d’emploi et services de la Police nationale, les services de la DRH ministérielle et les SGAMI.",,France Travail
Data analyst (H/F),Confidentiel,Nancy,54,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7226695,"Description du poste : Collecter, consolider et analyser les données permettant d'alimenter les indicateurs définis dans le plan d'action, le tableau de bord du chef de corps et les recherches statistiques internes et externes Mettre à jour les indicateurs avec les éléments collectés Participer à tout audit interne susceptible d'améliorer le fonctionnement d'une procédure d'une division Participer à l'organisation des conseils de gestion Identifier et, le cas échéant, proposer des actions d'amélioration du dispositif Superviser/manager PHILEAS Collecter, consolider et analyser les données permettant d'alimenter les indicateurs définis dans le plan d'action, le tableau de bord du chef de corps et les recherches statistiques internes et externes Animer et/ou assister aux formations internes et externes Assurer un appui aux différents services dans le cadre de la conception d'outils informatiques Assurer le suivi de l'AVNAT Description du profil",,France Travail
Data analyst (H/F),Confidentiel,Paris 9e Arrondissement,75,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7226003,"Description du poste : Maitriser l'utilisation des outils statistiques (R et SAS indispensables, Python notions) et des outils de programmation et de visualisation de données (SAS visual analytics, Power BI, Clik.). Piloter des enquêtes sociologiques (définition de la problématique, rédaction du questionnaire tirage de l'échantillon.) visant à recueillir des données complémentaires à celles disponibles dans les systèmes d'information RH. Conduire les exploitations et les analyses statistiques à partir de toutes les données disponibles au sein du bureau (BDRH, extraction de SI.). Rédiger des Repères RH (4 pages) permettant de valoriser les données disponibles au sein du bureau Exploiter les données relatives à la rémunération du personnel notamment pour contribuer aux travaux budgétaires (calcul du GVT, coûts moyens.). Présenter à l'écrit comme à l'oral les résultats des études conduites de manière claire et synthétique Gérer le recueil des données, leur mise à jour, l'harmonisation et la fusion des fichiers nécessaires à la réalisation des études Répondre aux demandes d'indicateurs ou de problématiques spécifiques adressées au bureau. Participer à la réflexion sur la définition des enquêtes (proposition de sujets, définition de la problématique.) Réaliser des travaux de synthèse mettant en avant les résultats disponibles au sein du bureau Réaliser une veille sur les thématiques traitées au sein du bureau Description du profil",,France Travail
Data analyst (H/F),Confidentiel,Paris 9e Arrondissement,75,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7225813,"Description du poste : Au sein du bureau des études économiques, vous réaliserez des études sur des sujets dans les domaines économique et social au profit de diverses entités du ministère (états-majors, directions et services sous l'autorité du chef d'état-major des armées (CEMA), de la direction générale de l'armement (DGA), du secrétariat général pour l'administration (SGA)). Pour répondre aux besoins exprimés par ces entités, vous mobiliserez, en lien avec ces dernières, vos compétences pour exploiter : -des données produites par l'Insee ou d'autres services statistiques ministériels (ex. ministère du travail (DARES), ministères financiers (SSM DGFiP et SSM Douanes) -des données produites par le ministère (données RH par exemple) À titre d'illustration, des travaux récents ont porté sur des caractéristiques de la base industrielle et technologique de défense (BITD) ou encore certaines dimensions sociales de la population militaire (ex. logement des militaires). Certaines études ont vocation à faire l'objet de publication dans la collection ""Ecodef"". Description du profil : Titulaire d'un diplôme de niveau Bac+5 (Master 2 en économie, ou économétrie, diplôme d'ingénieurs (ENSAE, ENSAI, Mines ParisTech, ENSI vous maîtrisez l'analyse des données, ses outils et langages de programmation (R principalement, Python pour la data science) afin d'être en mesure d'extraire et traduire des données brutes en données décisionnelles : -Vous appréhendez aisément le contenu d'une base de données et sa documentation afin d'en exploiter les données utiles et in fine analyser les informations générées par les traitements pour en tirer des informations pertinentes. -Vous démontrez une capacité à traduire le besoin exprimé par le bénéficiaire afin de produire de manière autonome des livrables immédiatement exploitables par lui grâce à des capacités rédactionnelles éprouvées. -Vous maîtrisez les outils de datavisualisation/business intelligence et, idéalement l'environnement de la plateforme Onyxia. Votre esprit d'initiative, vos qualités relationnelles, votre sens du travail en équipe et votre capacité d'adaptation sont indispensables pour accomplir vos missions. Une première expérience dans le domaine de la statistique publique et des études économiques est souhaitée.",,France Travail
Data analyst (H/F),Confidentiel,Rennes,35,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7225464,"Description du poste : Affecté au bureau pilotage, performance et soutien du Centre Ministériel de Gestion de Rennes, le chargé d'études participe activement au pilotage de la performance au sein du CMG. Sur la démarche de contrôle interne Participer à la construction des indicateurs de suivi des risques et des plans d'action déterminés dans les macro processus ayant fait l'objet d'un déploiement. -Assurer les différents contrôles relatifs à la gestion administrative et à la paie du ressort du bureau. -S'assurer de la bonne correction des anomalies relevées dans le cadre du contrôle interne, notamment comptable. -Participer à la rédaction de fiches pratiques à destination des gestionnaires du CMG. Sur l'administration des différents SI : -Participer à l'administration et au soutien aux utilisateurs du CMG de l'application Scénario NG, de l'outil SAFIA et d'ALLIANCE NG. -Réaliser des études statistiques et requêtes sous BI pour répondre aux différentes demandes. -Appuyer la référente ALLIANCE dans le suivi de la fiabilisation des informations saisies dans le SIRH Alliance NG. Alimenter les indicateurs de suivi des risques et de suivi des plans d'action associés Participer au soutien aux utilisateurs du CMG de l'application Scénario NG Réaliser des études statistiques et requêtes sous BI S'assurer de la correcte saisie des données RH et paie dans le SIRH Alliance NG en lien avec la référente Assurer la gestion des droits et habilitations, TULEAP, MODOP (1er niveau d'assistance utilisateur) Description du profil : Connaissance de la gestion RH et ou de la paie. Appétence pour les outils bureautiques et systèmes d'information. Ce poste est ouvert au corps technique.",,France Travail
Data analyst (H/F),Confidentiel,Rennes,35,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7224968,"Description du poste : Affecté au bureau pilotage, performance et soutien du Centre Ministériel de Gestion de Rennes, le chargé d'études participe activement au pilotage de la performance au sein du CMG. Sur la démarche de contrôle interne Participer à la construction des indicateurs de suivi des risques et des plans d'action déterminés dans les macro processus ayant fait l'objet d'un déploiement. -Assurer les différents contrôles relatifs à la gestion administrative et à la paie du ressort du bureau. -S'assurer de la bonne correction des anomalies relevées dans le cadre du contrôle interne, notamment comptable. -Participer à la rédaction de fiches pratiques à destination des gestionnaires du CMG. Sur l'administration des différents SI : -Participer à l'administration et au soutien aux utilisateurs du CMG de l'application Scénario NG, de l'outil SAFIA et d'ALLIANCE NG. -Réaliser des études statistiques et requêtes sous BI pour répondre aux différentes demandes. -Appuyer la référente ALLIANCE dans le suivi de la fiabilisation des informations saisies dans le SIRH Alliance NG. Description du profil : Idéalement, vous avez une première expérience en matière de gestion statutaire et de paie dans la fonction publique et une appétence prononcée pour les outils numériques. A défaut, vous êtes motivé pour apprendre et pour accompagner les gestionnaires dans leur métier au quotidien afin d'améliorer les processus et de faciliter le travail de tous. Enfin, pour vous, le travail d'équipe est un moteur, et vous êtes reconnu pour votre rigueur.",,France Travail
Data analyst (H/F),Confidentiel,Paris 9e Arrondissement,75,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7224933,"Description du poste : La sous-direction des statistiques et études économiques (S2E) de la direction des affaires financières est le service statistique ministériel (SSM) du ministère des armées. Le S2E est chargé de la conception, de la mise en œuvre et de la diffusion des travaux statistiques et des études économiques et sociales dans le domaine de la défense. En tant que service statistique ministériel (SSM), le S2E fait partie du service statistique public (SSP) coordonné par l'INSEE. Au sein du bureau des études économiques, le/la titulaire du poste réalise des études sur des sujets économique et social au profit de diverses entités du ministère (état-majors, directions et services dans le périmètre des armées (CEMA), de la direction générale de l'armement (DGA), du Secrétariat général pour l'administration (SGA)). Certaines études ont vocation à être publiées dans la collection ""Ecodef"". Ce poste demande la maîtrise dans l'analyse des données de ses outils et langages de programmation (R principalement, Python pour la data science) de savoir extraire et traduire des données brutes en données décisionnelles. Appréhender le contenu d'une base de données afin d'en exploiter les données utiles et in fine analyser les informations générées par les traitement. Il requiert une capacité à traduire le besoin exprimé par le bénéficiaire afin de produire des livrables immédiatement exploitables par lui. La maîtrise d'outils de datavisualisation/business intelligence et plateforme Onyxia est souhaitée Réalisation d'études statistiques et économiques Acquisitions de données Traitements statistiques - Econométrie Analyse des résultats Rédaction de rapports et d'articles Conception des réponses aux besoins des services du ministère des Armées Veille documentaire et bibliographique Description du profil : Formation Bac+5 type université, école d'ingénieurs (ENSAE, ENSAI, Mines ParisTech, ENSI Une expérience dans le domaine de la statistique publique et des études économiques sont souhaitées.",,France Travail
Data analyst (H/F),Confidentiel,Mérignac,33,CDI,,2025-12-30,https://candidat.francetravail.fr/offres/recherche/detail/7224319,"Description du poste : Réaliser des travaux d'évaluation et d'actualisation des besoins financiers pluriannuels notamment en recueillant et agrégeant les données auprès des flottes, afin d'effectuer la mise à jour continue des outils de pilotage du segment Exploiter et analyser les données issues de la restitution DMAé pour la mise à jour des outils de pilotage du segment en vue de la réalisation de synthèses des données de pilotage du segment de soutien Contrôler et suivre l'ensemble des documents d'engagement budgétaire (DA Chorus Formulaires, FIBOC, FE.) avant validation par le directeur du segment de soutien Réaliser des travaux de CIF sur le périmètre du segment de soutien, via l'exploitation des données issues de la restitution DMAé, pour transmission des demandes de correction vers l'échelon central et le service exécutant Mettre à jour du tableau de bord « finances » au bénéfice du directeur du segment de soutien Former et accompagner des nouveaux arrivants aux enjeux spécifiques du segment de soutien et sur la mise en pratique des outils de pilotage (prévision et réalisation) utilisés en son sein Contribuer à l'élaboration des documents réglementaires de gestion et des travaux de compte rendu de gestion du segment de soutien, à la supervision des documents de référence des équipes de projets en veillant à leur qualité Participer au reporting d'activité en remontant les faits saillants et présence aux réunions de service périodiques avec suggestion d'éventuels ordres du jour ou thèmes de tr Description du profil : Maintenance aéronautique Finances publiques",,France Travail
Data Analyst Expérimenté H/F,EY,Paris,75,CDI,,2025-12-23,https://candidat.francetravail.fr/offres/recherche/detail/6979440,"EY Analytics recrute un Data Analyst (F/H). Vous rejoindrez une équipe dynamique, enthousiaste et multiculturelle et vous aurez l'occasion d'intervenir sur des projets transformatifs et innovants. Vos missions Vous accompagnerez nos clients sur leurs différents besoins de traitement de données, d'analyses et de mise en place de reporting Concevoir, implémenter et développer des solutions de reporting, d'analyse de données ou de visualisations de données (Power BI, Tableau.) Préparer les données (contrôle de qualité, de cohérence, transformations.), aider à construire un prototype pour ensuite interpréter les données et analyser les résultats Rencontrer les parties prenantes de l'entreprise pour recenser les besoins et définir les exigences métiers. Se synchroniser avec les intervenants techniques pour examiner le code et anticiper les points de difficultés",,France Travail
Data analyst (H/F),Confidentiel,Toulouse,31,CDI,,2025-12-18,https://candidat.francetravail.fr/offres/recherche/detail/6767908,"Description du poste : Mission Vous souhaitez rejoindre un cabinet à taille humaine, reconnu pour son expertise depuis plus de 50 ans, où l'innovation, la proximité et l'épanouissement des collaborateurs sont au cœur du projet ? Bienvenue chez BGH. Membre du groupement France Défi, nous accompagnons plus de 3 000 clients grâce à une équipe de 150 collaborateurs engagés. Notre département Business Intelligence, structure son développement et recherche un nouveau talent pour contribuer activement à cette dynamique. Pourquoi nous rejoindre Un environnement stimulant où vous aurez un vrai impact sur la structuration du pôle BI. - Un cabinet qui investit dans vos compétences : formations, outils modernes, accompagnement réel. - Des missions variées mixant contrôle de gestion, data, conseil et formation. - Un management bienveillant, à l'écoute, et une culture d'entreprise fondée sur la confiance. - Un contexte idéal pour monter en compétences rapidement et construire un parcours sur mesure. Vos missions principales Au sein du département Business Intelligence, et sous la supervision du manager BI, vous interviendrez sur : Déploiement d'outils de pilotage - Conception d'outils de reporting, datavisualisation et analyse (Excel avancé & Power BI) pour les besoins internes et externes - Développement de solutions sur-mesure et standardisées pour nos clients Contrôle de gestion & accompagnement - Participation à des missions d'externalisation de contrôle de gestion - Analyse de performance, tableaux de bord, suivi budgétaire, optimisation des processus Formation & transmission - Animation de formations internes (Excel, bonnes pratiques data) - Formation des clients : Excel, Power BI, pilotage, datavisualisation - Contribution au développement du pôle BI - Participation à l'amélioration continue des méthodes, process et offres - Veille, innovation, partage de bonnes pratiques Profil recherché Ce que nous offrons Au-delà d'une rémunération selon votre expérience, BGH propose Télétravail - Participation - Tickets restaurant - Chèques vacances / chèques culture - Parcours de formations personnalisé - Un cadre de travail convivial, serein et stimulant - Et surtout : la construction de votre avenir professionnel, ensemble Prêt(e) à rejoindre l'aventure BGH ? Envoyez votre candidature et venez contribuer au développement d'un pôle stratégique, porteur et innovant. Profil recherché - Master école de commerce ou université (Finance, Contrôle de gestion, Audit, Data Une première expérience réussie en cabinet, contrôle de gestion, audit ou direction financière. - Excellente maîtrise d'Excel et de Power BI (indispensable Curiosité, rigueur, sens du service et envie d'apprendre. - Motivation pour évoluer dans un environnement où finance et data se rencontrent.",,France Travail
